vfatCh,hrsPin
0,7
1,8
2,9
3,10
4,13
5,14
6,15
7,16
8,17
9,18
10,19
11,20
12,21
13,22
14,23
15,24
16,25
17,26
18,27
19,28
20,29
21,30
22,31
23,32
24,35
25,36
26,37
27,38
28,39
29,40
30,41
31,42
32,43
33,44
34,45
35,46
36,47
37,48
38,49
39,50
40,51
41,52
42,53
43,54
44,57
45,58
46,59
47,60
48,61
49,62
50,63
51,64
52,65
53,66
54,67
55,68
56,69
57,70
58,71
59,72
60,73
61,74
62,75
63,76
64,79
65,80
66,81
67,82
68,83
69,84
70,85
71,86
72,87
73,88
74,89
75,90
76,91
77,92
78,93
79,94
80,95
81,96
82,97
83,98
84,101
85,102
86,103
87,104
88,105
89,106
90,107
91,108
92,109
93,110
94,111
95,112
96,113
97,114
98,115
99,116
100,117
101,118
102,119
103,120
104,123
105,124
106,125
107,126
108,127
109,128
110,129
111,130
112,131
113,132
114,133
115,134
116,135
117,136
118,137
119,138
120,139
121,140
122,141
123,142
124,145
125,146
126,147
127,148